Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64460,Aast
Lorraine,Alsace-Champagne-Ardenne-Lorraine,55,Meuse,2,55130,Abainville
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,59,Nord,2,59268,Abancourt
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,1,60220,Abancourt
Lorraine,Alsace-Champagne-Ardenne-Lorraine,54,Meurthe-et-Moselle,3,54610,Abaucourt
Lorraine,Alsace-Champagne-Ardenne-Lorraine,55,Meuse,3,55400,Abaucourt-Hautecourt
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25320,Abbans-Dessous
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25440,Abbans-Dessus
Pays de la Loire,Pays de la Loire,44,Loire-Atlantique,1,44170,Abbaretz
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,1,60430,Abbecourt
Picardie,Nord-Pas-de-Calais-Picardie,02,Aisne,2,02300,Abbécourt
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,1,25340,Abbenans
Picardie,Nord-Pas-de-Calais-Picardie,80,Somme,1,80100,Abbeville
Île-de-France,Île-de-France,91,Essonne,1,91150,Abbéville-la-Rivière
Lorraine,Alsace-Champagne-Ardenne-Lorraine,54,Meurthe-et-Moselle,1,54800,Abbéville-lès-Conflans
Picardie,Nord-Pas-de-Calais-Picardie,60,Oise,2,60480,Abbeville-Saint-Lucien
Franche-Comté,Bourgogne-Franche-Comté,25,Doubs,2,25310,Abbévillers
Languedoc-Roussillon,Languedoc-Roussillon-Midi-Pyrénées,34,Hérault,1,34290,Abeilhan
Franche-Comté,Bourgogne-Franche-Comté,70,Haute-Saône,1,70300,Abelcourt
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64160,Abère
Rhône-Alpes,Auvergne-Rhône-Alpes,01,Ain,2,01400,Abergement-Clémenciat
Bourgogne,Bourgogne-Franche-Comté,71,Saône-et-Loire,4,71290,Abergement-de-Cuisery
Rhône-Alpes,Auvergne-Rhône-Alpes,01,Ain,1,01640,Abergement-de-Varey
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,1,39500,Abergement-la-Ronce
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39600,Abergement-le-Grand
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39800,Abergement-le-Petit
Franche-Comté,Bourgogne-Franche-Comté,39,Jura,2,39110,Abergement-lès-Thésy
Bourgogne,Bourgogne-Franche-Comté,71,Saône-et-Loire,2,71370,Abergement-Sainte-Colombe
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,3,64150,Abidos
Centre,Centre,37,Indre-et-Loire,3,37160,Abilly
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,64,Pyrénées-Atlantiques,2,64390,Abitain
Aquitaine,Aquitaine-Limousin-Poitou-Charentes,24,Dordogne,2,24300,Abjat-sur-Bandiat
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62153,Ablain-Saint-Nazaire
Picardie,Nord-Pas-de-Calais-Picardie,80,Somme,4,80320,Ablaincourt-Pressoir
Nord-Pas-de-Calais,Nord-Pas-de-Calais-Picardie,62,Pas-de-Calais,1,62116,Ablainzevelle
Champagne-Ardenne,Alsace-Champagne-Ardenne-Lorraine,51,Marne,4,51240,Ablancourt
Île-de-France,Île-de-France,95,Val-d'Oise,3,95450,Ableiges
Lorraine,Alsace-Champagne-Ardenne-Lorraine,88,Vosges,1,88270,Ableuvenettes
Île-de-France,Île-de-France,78,Yvelines,2,78660,Ablis
Basse-Normandie,Basse et Haute Normandie,14,Calvados,3,14600,Ablon
Île-de-France,Île-de-France,94,Val-de-Marne,1,94480,Ablon-sur-Seine
Rhône-Alpes,Auvergne-Rhône-Alpes,42,Loire,1,42380,Aboën
